to rewind;rembobiner;False
ripple;ondulation;False
to rise/rose/risen;monter;True
to route data over a network;acheminer des données sur un réseau;True
router;routeur;False
routing;acheminement, routage;False
rule;règle;False
to run/ran/run;faire tourner, lancer (info.) / (faire) marcher;True
runtime software;exécuteur, moteur d'exécution;False
safe;sûr, en sécurité;True
safety;sécurité;True
sample;échantillon;True
scale;échelle, graduation;True
to scan;analyser / numériser;True
schematic;schéma;False
schematics;schéma (discipline);False
scheme;plan, projet, programme;True
scope;étendue, portée;True
screen;écran;False
screenshot;capture d'écran;True
to screw;visser;False
to scroll;dérouler;True
scrolling;défilement;False
seamless;fluide, transparent;True
to secure;attacher, fixer;True
to select;sélectionner;False
self-contained;indépendant;False
sensor;capteur, détecteur;True
serial;en série;False
to serialize;mettre en série;False
to service a power cut;traiter une interruption;False
servomechanism;système asservi;False
to set;mettre à un / mettre;True
to set up;installer, configurer;True
set-up;montage, installation, configuration;True
several;plusieurs;True
shape;forme;True
to share;partager;True
shareware;logiciel en libre essai;True
sheet;feuille;True
shift register;registre à décalage;False
to shift;décaler, déplacer (info.);True
to ship;expédier;True
shop;atelier / magasin;False
short circuit;court-circuit;False
to shorten;raccourcir;False
side;côté;True
signal;signal;False
signal-to-noise ratio;rapport signal sur bruit;False
silicon;silicium;False
simplex transmission;transmission en simplex;False
