size;taille;True
slave (en position d'adjectif);asservi;True
slave control;asservissement;False
to slide;glisser, faire glisser;True
slot;fente, logement (pour carte);True
slow;lent;False
smooth;fluide (pour les images), doux;False
snap to;attraction magnétique;False
socket;prise (femelle) / douille;True
software;logiciel;True
to solder;souder (élec.);False
solid-state;à semi-conducteur, transistorisé;False
to sort;trier;True
specifications;cahier des charges;True
spare parts;pièces de rechange;True
splash screen;écran d'accueil;True
spooling;stockage en vue d'un traitement différé;False
spreadsheet;tableur;True
to stack;empiler;False
stack;pile;True
staff manager;directeur du personnel;False
start-stop (or asynchronous);asynchrone;False
state of the art;ce qui se fait de mieux;True
state;état;False
static allocation;allocation statique;False
station;poste, péripherique, terminal;True
status;statut, état;True
steady;stable, régulier;True
storage;mémoire, stockage;True
to store;stocker, mémoriser;True
store-and-forward mode;mode différé;False
streame;flot;False
streamline;rationaliser;True
to stretch;allonger, étirer;False
string;chaîne alphanumérique;False
sub-routine;sous-programme;False
to subscribe;s'inscrire, s'enregistrer;True
such as;tel que;True
to suit;convenir, aller, être fait pour;True
suitable;qui convient, adapté;True
to supply somebody with something;fournir / alimenter;True
supply;alimentation, approvisionnement;True
to swap;échanger, permuter;True
swap;permutation;True
to switch on/off;allumer/éteindre;True
switch;interrupteur;True
synchronous;synchrone;False
tag;balise, étiquette;True
to tape;enregistrer (sur bande);False
tape;cassette, bande;False
tape recorder;magnétophone;False
