technofreak;un fana/accroc des nouvelles technologies;False
telecommuting;télétravail;True
teleinformatics;téléinformatique;False
telematics;télématique;False
teleprocessing;télétraitement;False
teletex;télétex;False
template;modèle, gabarit;True
terminal;borne / terminal;False
terminator;résistance de terminaison;False
threshold;seuil;True
throughout;à travers, de bout en bout;True
throughput;capacité de traitement, débit;False
thumb drive;clé USB;True
to tick a box;cocher une case;True
to tie;lier;False
to tighten;serrer;False
to tilt;basculer, incliner;False
time frame;base de temps, calendrier;False
time-out;temporisation, délai d'attente;False
time-sharing;partage de temps/traitement en temps partagé;False
to toggle;basculer, changer d'état;False
token;jeton;True
tool;outil;True
toolbar;la barre d'outils;False
topic;sujet, thème;True
track;piste;False
transfer time;temps de transfert;False
transformer;transformateur;False
transmitter;transmetteur;False
trap;interruption, déroutement du programme;True
to trigger off;déclencher;True
trigger;basculeur / déclenchement;True
to tune;règler, accorder;True
to turn on/off;allumer/éteindre;True
to twist;tordre, torsader;False
two-way alternate communication;bilatéral à l'alternat (mode);False
two-way simultaneous communication;bilatéral simultané (mode);False
to type;taper (clavier), afficher;False
to type in;entrer (données);True
to undo;défaire;False
to unfold;déplier;False
to unhook;décrocher;False
uninterruptible power supply (UPS);onduleur;True
unless otherwise noted;sauf mention contraire;False
to unload;décharger;False
to unplug;débrancher;True
to unscrew;dévisser;False
until/not until;jusqu'à/ne...pas tant que;True
to update;mettre à jour;True
to upgrade;améliorer, mettre à niveau;True
upgrade;évolution d'un système, mise à niveau;True
